Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
84	1000.0	0.0	1000.0	1000.0	1000.0	100.00383	0.04933364	100.237495	99.541824	170000	-5.2452087e-09	0.002469015	-0.0061767963	-0.0001312627	-0.051392548	0.0031356548	0.021	79.0	153.6527063846588
85	1000.0	0.0	1000.0	1000.0	1000.0	99.997284	0.055063665	100.27864	99.37758	172000	-1.1324882e-08	0.0030687763	-0.010200638	-0.00010964833	-0.050369967	0.008016033	0.079	79.0	155.50431847572327
86	1000.0	0.0	1000.0	1000.0	1000.0	99.999275	0.05184232	100.23052	99.48167	174000	-4.1723253e-10	0.0027423815	-0.0073985583	-0.00016486575	-0.049650606	0.0034752165	0.0265	79.0	157.28223395347595
87	1000.0	0.0	1000.0	1000.0	1000.0	100.001274	0.059896365	100.26217	98.79702	176000	1.48117545e-08	0.0035928716	-0.008688921	-0.00036353036	-0.040917628	0.007959249	0.062	79.0	159.14342999458313
88	1000.0	0.0	1000.0	1000.0	1000.0	100.002266	0.04674759	100.21118	99.619545	178000	-8.642673e-09	0.0021899145	-0.00035478533	-9.447592e-05	-0.074241914	0.015451191	0.166	3.0	160.7113060951233
89	1000.0	0.0	1000.0	1000.0	1000.0	100.00553	0.045018476	100.27653	99.579155	180000	9.6559525e-09	0.0020525653	-0.0050247046	-0.00022934587	-0.0753469	0.0025680482	0.048	79.0	162.63799405097961
90	1000.0	0.0	1000.0	1000.0	1000.0	100.00191	0.042904273	100.22729	99.78159	182000	-9.417534e-09	0.0018895488	-0.0054099723	-5.286152e-05	-0.096744984	0.0056947344	0.031	79.0	164.5689480304718
91	1000.0	0.0	1000.0	1000.0	1000.0	100.0014	0.039042346	100.16951	99.76486	184000	-1.0415912e-08	0.0015402519	-0.008818938	-4.289334e-05	-0.108530045	0.0021342954	0.0305	79.0	166.45429015159607
92	1000.0	0.0	1000.0	1000.0	1000.0	99.99997	0.044319637	100.1878	99.66615	186000	-4.172325e-09	0.0022729428	-0.008785478	-0.000107732136	-0.13103633	0.006102614	0.0625	79.0	168.4209554195404
93	1000.0	0.0	1000.0	1000.0	1000.0	99.99338	0.041053835	100.16786	99.57972	188000	-6.7353247e-09	0.0018165265	-0.009874107	-0.00014322903	-0.16682228	0.0054720463	0.0545	79.0	170.27051186561584
94	1000.0	0.0	1000.0	1000.0	1000.0	99.998405	0.04148811	100.22646	99.68503	190000	-4.9769877e-09	0.001720603	-0.007317642	-8.0310274e-05	-0.17433454	0.004573173	0.0335	79.0	172.14884877204895
95	1000.0	0.0	1000.0	1000.0	1000.0	100.00054	0.037685823	100.19723	99.83768	192000	-1.7881393e-09	0.0014650488	-0.0073297424	-6.0900464e-05	-0.16791424	0.004804014	0.0395	79.0	174.0210988521576
96	1000.0	0.0	1000.0	1000.0	1000.0	100.00239	0.041595403	100.198715	99.571495	194000	1.8157065e-08	0.001814249	-0.009149605	-0.00010652479	-0.1642746	0.002789529	0.054	79.0	175.9296007156372
97	1000.0	0.0	1000.0	1000.0	1000.0	99.996796	0.040116303	100.18173	99.745834	196000	-3.904104e-09	0.0016386121	-0.005679617	-8.851418e-05	-0.18398009	4.0571304e-05	0.029	79.0	177.80275630950928
98	1000.0	0.0	1000.0	1000.0	1000.0	100.00118	0.039152022	100.18978	99.63922	198000	1.680851e-08	0.001567186	-0.006412798	-5.6577148e-05	-0.17057317	0.0036758163	0.0315	79.0	179.70350623130798
99	1000.0	0.0	1000.0	1000.0	1000.0	99.99649	0.03986493	100.20529	99.66547	200000	-3.3915043e-08	0.0016774903	-0.010419372	-6.5317145e-05	-0.1809416	0.0047516166	0.0795	79.0	181.61770868301392
